x,y,movement_distance,area_weighted_coverage,uniform_r_alpha_coverage,area_rank,uniform_rank
689.0,447.0,821.2977535583548,0.2617486338797814,0.36666666666666664,40,1462
630.0,479.5,791.7198052341497,0.24918032786885247,0.4166666666666667,2255,40
689.0,448.0,821.842442320911,0.2617486338797814,0.36666666666666664,41,1463
630.5,476.5,790.3053207463556,0.24918032786885247,0.4166666666666667,2256,41
689.0,449.0,822.3879862935742,0.2617486338797814,0.36666666666666664,42,1464
630.5,477.0,790.6068871443,0.24918032786885247,0.4166666666666667,2257,42
689.0,450.0,822.9343837755231,0.2617486338797814,0.36666666666666664,43,1465
630.5,477.5,790.9086546498274,0.24918032786885247,0.4166666666666667,2258,43
689.0,451.0,823.4816330677935,0.2617486338797814,0.36666666666666664,44,1466
630.5,478.0,791.2106230328307,0.24918032786885247,0.4166666666666667,2259,44
689.0,452.0,824.0297324732888,0.2617486338797814,0.36666666666666664,45,1467
630.5,478.5,791.5127920634005,0.24918032786885247,0.4166666666666667,2260,45
689.0,453.0,824.5786802967925,0.2617486338797814,0.36666666666666664,46,1468
630.5,479.0,791.8151615118265,0.24918032786885247,0.4166666666666667,2261,46
689.0,454.0,825.1284748449783,0.2617486338797814,0.36666666666666664,47,1469
630.5,479.5,792.1177311485964,0.24918032786885247,0.4166666666666667,2262,47
689.0,455.0,825.6791144264217,0.2617486338797814,0.36666666666666664,48,1470
630.5,480.0,792.4205007443965,0.24918032786885247,0.4166666666666667,2263,48
689.0,456.0,826.230597351611,0.2617486338797814,0.36666666666666664,49,1471
631.0,479.5,792.5157727137045,0.24918032786885247,0.4166666666666667,2264,49
689.0,457.0,826.7829219329582,0.2617486338797814,0.36666666666666664,50,1472
450.0,300.0,540.8326913195984,0.18129065833983868,0.4158730158730159,4114,50
689.0,458.0,827.3360864848094,0.2617486338797814,0.36666666666666664,51,1473
630.0,473.0,787.8001015486099,0.24902419984387197,0.4158730158730159,2275,51
689.0,459.0,827.890089323456,0.2617486338797814,0.36666666666666664,52,1474
631.0,479.0,792.2133551007582,0.24902419984387197,0.4158730158730159,2276,52
690.0,449.0,823.2259714076081,0.2617486338797814,0.36666666666666664,53,1475
630.0,472.5,787.5,0.24902419984387197,0.4158730158730159,2277,53
690.0,451.0,824.3185064039263,0.2617486338797814,0.36666666666666664,54,1476
630.5,475.5,789.7027921946332,0.24902419984387197,0.4158730158730159,2278,54
690.0,453.0,825.414441356583,0.2617486338797814,0.36666666666666664,55,1477
630.5,476.0,790.003955686299,0.24902419984387197,0.4158730158730159,2279,55
690.0,455.0,826.5137627408269,0.2617486338797814,0.36666666666666664,56,1478
631.0,478.5,791.9111376915973,0.24902419984387197,0.4158730158730159,2280,56
690.0,457.0,827.6164570620862,0.2617486338797814,0.36666666666666664,57,1479
630.0,472.0,787.2001016260097,0.24886807181889148,0.4150793650793651,2303,57
690.0,459.0,828.722510856318,0.2617486338797814,0.36666666666666664,58,1480
631.0,478.0,791.6091207155208,0.24886807181889148,0.4150793650793651,2304,58
691.0,453.0,826.2505673220443,0.2617486338797814,0.36666666666666664,59,1481
630.0,471.5,786.9004066589367,0.24886807181889148,0.4150793650793651,2305,59
691.0,454.0,826.7992501206081,0.2617486338797814,0.36666666666666664,60,1482
630.5,474.5,789.1010708394712,0.24886807181889148,0.4150793650793651,2306,60
691.0,455.0,827.3487777231559,0.2617486338797814,0.36666666666666664,61,1483
630.5,475.0,789.401830502058,0.24886807181889148,0.4150793650793651,2307,61
691.0,456.0,827.8991484474423,0.2617486338797814,0.36666666666666664,62,1484
631.0,477.5,791.3073044020256,0.24886807181889148,0.4150793650793651,2308,62
691.0,457.0,828.4503606131149,0.2617486338797814,0.36666666666666664,63,1485
630.0,471.0,786.6009153312752,0.248711943793911,0.4142857142857143,2333,63
691.0,458.0,829.0024125417248,0.2617486338797814,0.36666666666666664,64,1486
631.0,477.0,791.0056889808062,0.248711943793911,0.4142857142857143,2334,64
691.0,459.0,829.5553025567373,0.2617486338797814,0.36666666666666664,65,1487
630.5,474.0,788.8005134379667,0.248711943793911,0.4142857142857143,2335,65
686.0,429.5,809.3616311637215,0.2617486338797814,0.36666666666666664,66,1488
631.5,480.0,793.2163954432611,0.248711943793911,0.4142857142857143,2336,66
686.0,430.5,809.892739811884,0.2617486338797814,0.36666666666666664,67,1489
630.0,470.0,786.0025445251434,0.24855581576893052,0.41349206349206347,2496,67
686.5,431.5,810.8480128852756,0.2617486338797814,0.36666666666666664,68,1490
631.0,476.0,790.4030617349606,0.24855581576893052,0.41349206349206347,2497,68
686.5,432.0,811.1142028099372,0.2617486338797814,0.36666666666666664,69,1491
630.0,470.5,786.3016278757154,0.24855581576893052,0.41349206349206347,2498,69
686.5,432.5,811.3806135224085,0.2617486338797814,0.36666666666666664,70,1492
630.5,473.0,788.2000063435676,0.24855581576893052,0.41349206349206347,2499,70
686.5,433.0,811.6472448052787,0.2617486338797814,0.36666666666666664,71,1493
630.5,473.5,788.5001585288363,0.24855581576893052,0.41349206349206347,2500,71
686.5,433.5,811.914096441243,0.2617486338797814,0.36666666666666664,72,1494
631.0,476.5,790.7042746817548,0.24855581576893052,0.41349206349206347,2501,72
686.5,434.0,812.1811682131025,0.2617486338797814,0.36666666666666664,73,1495
631.5,479.0,792.6116640575004,0.24855581576893052,0.41349206349206347,2502,73
686.5,434.5,812.4484599037652,0.2617486338797814,0.36666666666666664,74,1496
631.5,479.5,792.9139297553045,0.24855581576893052,0.41349206349206347,2503,74
686.5,435.0,812.7159712962457,0.2617486338797814,0.36666666666666664,75,1497
631.0,475.0,789.8012408194862,0.24839968774395005,0.4126984126984127,2540,75
686.5,435.5,812.983702173666,0.2617486338797814,0.36666666666666664,76,1498
630.0,469.5,785.703665512641,0.24839968774395005,0.4126984126984127,2541,76
686.5,436.0,813.251652319256,0.2617486338797814,0.36666666666666664,77,1499
630.5,472.0,787.6003110715485,0.24839968774395005,0.4126984126984127,2542,77
686.5,436.5,813.5198215163537,0.2617486338797814,0.36666666666666664,78,1500
630.5,472.5,787.9000571138448,0.24839968774395005,0.4126984126984127,2543,78
686.5,437.0,813.7882095484058,0.2617486338797814,0.36666666666666664,79,1501
631.0,475.5,790.10205037071,0.24839968774395005,0.4126984126984127,2544,79
687.0,433.5,812.3369067080481,0.2617486338797814,0.36666666666666664,80,1502
631.5,478.0,792.0077335481012,0.24839968774395005,0.4126984126984127,2545,80
687.0,434.5,812.8709922244734,0.2617486338797814,0.36666666666666664,81,1503
631.5,478.5,792.3095985787375,0.24839968774395005,0.4126984126984127,2546,81
687.0,435.5,813.4059564571678,0.2617486338797814,0.36666666666666664,82,1504
630.0,469.0,785.4049910714854,0.24824355971896955,0.4119047619047619,2557,82
687.0,436.5,813.9417976735192,0.2617486338797814,0.36666666666666664,83,1505
630.5,471.5,787.3007684487549,0.24824355971896955,0.4119047619047619,2558,83
687.0,437.5,814.4785141426383,0.2617486338797814,0.36666666666666664,84,1506
631.0,474.5,789.500633311969,0.24824355971896955,0.4119047619047619,2559,84
687.0,438.5,815.0161041353723,0.2617486338797814,0.36666666666666664,85,1507
631.5,477.5,791.7060691948749,0.24824355971896955,0.4119047619047619,2560,85
687.0,439.5,815.5545659243163,0.2617486338797814,0.36666666666666664,86,1508
630.0,468.0,784.808256837299,0.24808743169398906,0.4111111111111111,2569,86
