stage,d1,d2,beta_deg,sensor_x,sensor_y,worst_diameter,mean_diameter,worst_epsilon,bounded_all,diameter_pass_all,circle_pass_all,clear_ready_all,epsilon_count
coarse,200.0,200.0,90.75,202.6179191142689,-199.9828655148014,9.985106635556901,9.940568276839683,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.8,202.79243606782904,-199.98050480186086,9.980653935283595,9.943803495676198,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.85,202.96695089482768,-199.9779917950665,9.97620711211049,9.947259156192034,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.9,203.14146346236416,-199.97532649633212,9.971766156499369,9.950935711842364,-1.0,True,True,False,False,101
coarse,200.0,200.0,90.95,203.3159736375395,-199.97250890768748,9.96733105893383,9.954832899286101,-1.0,True,True,False,False,101
coarse,200.0,200.0,91.0,203.4904812874567,-199.96953903127826,9.962901809919511,9.958951169396508,1.0,True,True,False,False,101
coarse,200.0,200.0,91.05,203.66498627922053,-199.96641686936616,9.967480325517046,9.963290261995065,1.0,True,True,False,False,101
coarse,200.0,200.0,91.1,203.8394884799379,-199.96314242432885,9.972064820340545,9.967720926565022,1.0,True,True,False,False,101
coarse,200.0,200.0,91.15,204.01398775671782,-199.95971569865995,9.976655304378742,9.972157434459993,1.0,True,True,False,False,101
coarse,200.0,200.0,91.2,204.1884839766714,-199.9561366949691,9.981251787642954,9.976599795176407,1.0,True,True,False,False,101
coarse,200.0,200.0,91.25,204.36297700691222,-199.95240541598181,9.985854280167485,9.98104801823245,1.0,True,True,False,False,101
coarse,200.0,200.0,91.3,204.53746671455625,-199.94852186453966,9.990462792009518,9.985502113168147,1.0,True,True,False,False,101
coarse,200.0,200.0,91.35,204.71195296672198,-199.9444860436001,9.9950773332492,9.989962089545383,1.0,True,True,False,False,101
coarse,200.0,200.0,91.4,204.88643563053063,-199.94029795623663,9.999697913989634,9.994427956947998,1.0,True,True,False,False,101
coarse,200.0,200.0,91.45,205.06091457310592,-199.93595760563863,10.004324544357232,9.998899724981829,1.0,True,True,False,False,101
coarse,200.0,200.0,91.5,205.2353896615746,-199.93146499511144,10.008957234501427,10.00337740327478,1.0,True,True,False,False,101
coarse,200.0,200.0,91.55,205.40986076306638,-199.92682012807646,10.013595994594867,10.007861001476888,1.0,True,True,False,False,101
coarse,200.0,200.0,91.6,205.58432774471376,-199.92202300807088,10.01824083483367,10.012350529260383,1.0,True,True,False,False,101
coarse,200.0,200.0,91.65,205.7587904736527,-199.91707363874792,10.022891765437128,10.016845996319727,1.0,True,True,False,False,101
