stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
refine_2m,2.0,-2.0,2.0,2.8284271247461903,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,7.8064012490242e-05,7.8064012490242e-05,0.65,0.002380952380952381,0.002380952380952381,83.90947790434232,270.05473292152504,665.0858286226465,1665.0443829240648,1665.0443829240648,0.9984737484737485,89.77278850145065,0.0,1260,9
refine_2m,2.0,-2.0,4.0,4.47213595499958,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.000546448087431694,0.000546448087431694,0.65,0.016666666666666666,0.016666666666666666,193.6810687914972,687.2825054072396,1739.8718140502906,3148.4660084181664,7871.760124000734,0.9935897435897436,89.54567879318341,0.0,1260,9
refine_2m,2.0,-2.0,6.0,6.324555320336759,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.0008066614623991673,0.0008066614623991673,0.65,0.020634920634920634,0.020634920634920634,251.66040698505168,725.1509852579713,1915.0146559595125,3415.5170841008157,6955.037774893319,0.9856532356532357,89.31876855084289,0.0,1260,9
refine_2m,2.0,-2.0,8.0,8.246211251235321,0.4262295081967213,0.9672131147540983,0.0,0.4262295081967213,0.001483216237314598,0.001483216237314598,0.65,0.030952380952380953,0.030952380952380953,365.42212271752686,2783.6673651621263,3886.837874653617,7675.839869014343,56487.89962434543,0.9733821733821734,89.0921478053358,0.0,1260,9
refine_2m,2.0,0.0,0.0,0.0,0.9669008587041374,0.9968774395003903,0.0,0.9669008587041374,0.0,0.0,0.9793650793650793,0.0,0.0,nan,nan,nan,nan,nan,1.0,90.0,0.0,1260,9
refine_2m,2.0,0.0,2.0,2.0,0.6994535519125683,0.9828259172521467,0.0,0.6994535519125683,0.00018214936247723133,0.00018214936247723133,0.8166666666666667,0.005555555555555556,0.005555555555555556,68.08512261652018,215.42544241974457,579.2036835182016,1257.7363255549217,1257.7363255549217,0.9989955357142857,89.82455338327922,0.0,1260,9
refine_2m,2.0,0.0,4.0,4.0,0.6928181108508977,0.9828259172521467,0.0,0.6928181108508977,0.000546448087431694,0.000546448087431694,0.8119047619047619,0.016666666666666666,0.016666666666666666,172.9313821169596,472.45292735517774,1158.4073670364032,2515.4726511098434,4276.605293297561,0.995943661971831,89.6478850098979,0.0,1260,9
refine_2m,2.0,0.0,6.0,6.0,0.6721311475409836,0.9812646370023419,0.0,0.6721311475409836,0.0009107468123861566,0.0009107468123861566,0.8,0.022222222222222223,0.022222222222222223,236.9375991854348,807.1708343148451,1737.6110505546048,3773.208976666967,9740.410661705218,0.9905536198219125,89.46374243079035,0.0,1260,9
refine_2m,2.0,0.0,8.0,8.0,0.665495706479313,0.9812646370023419,0.0,0.665495706479313,0.001639344262295082,0.001639344262295082,0.7952380952380952,0.03333333333333333,0.03333333333333333,341.6753488915837,1529.4010882970745,2892.9788682635367,7027.524338038667,27634.868221438544,0.9826783968719452,89.2825030916128,0.0,1260,9
refine_2m,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.99861728586663,0.0,1260,9
refine_2m,2.0,2.0,2.0,2.8284271247461903,1.0,1.0,0.0,1.0,0.00026021337496747333,0.00026021337496747333,1.0,0.007936507936507936,0.007936507936507936,60.77718493629887,940.1987307345739,998.3901101544802,11973.216353746115,11973.216353746115,0.9991933385376008,89.84876955104428,0.0,1260,9
refine_2m,2.0,2.0,4.0,4.47213595499958,1.0,1.0,0.0,1.0,0.000546448087431694,0.000546448087431694,1.0,0.016666666666666666,0.016666666666666666,158.1081435012819,618.935830194362,1465.658043266607,4546.7191588229025,6757.975298768773,0.997007546187874,89.69760107409458,0.0,1260,9
refine_2m,2.0,2.0,6.0,6.324555320336759,1.0,1.0,0.0,1.0,0.001014832162373146,0.001014832162373146,1.0,0.023809523809523808,0.023809523809523808,225.07146454777907,794.7439730291319,1663.1547138112353,3487.463914227534,11576.76230906149,0.9934946656258131,89.54655283705554,0.0,1260,9
refine_2m,2.0,2.0,8.0,8.246211251235321,1.0,1.0,0.0,1.0,0.001639344262295082,0.001639344262295082,1.0,0.03333333333333333,0.03333333333333333,327.46462379071465,1716.1467106350058,3716.9082976051955,7320.869879963781,36303.20454514569,0.9881342701014832,89.39567642314427,0.0,1260,9
refine_2m,2.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.99721576264048,0.0,1260,9
refine_2m,2.0,4.0,2.0,4.47213595499958,1.0,1.0,0.0,1.0,0.00036429872495446266,0.00036429872495446266,1.0,0.011111111111111112,0.011111111111111112,49.16496510811381,367.21185759237994,818.3013937883184,3691.3991313460733,3691.3991313460733,0.9991412958626074,89.8477434355061,0.0,1260,9
refine_2m,2.0,4.0,4.0,5.656854249492381,1.0,1.0,0.0,1.0,0.000546448087431694,0.000546448087431694,1.0,0.016666666666666666,0.016666666666666666,155.42808609534922,1513.0656717134095,1900.9863883236276,16716.465172989152,23946.43270749223,0.9968253968253968,89.69556311991086,0.0,1260,9
refine_2m,2.0,4.0,6.0,7.211102550927978,1.0,1.0,0.0,1.0,0.00117096018735363,0.00117096018735363,1.0,0.02619047619047619,0.02619047619047619,224.72185125475332,1014.7942957908567,2269.1045630059807,5976.696827879623,11003.997587932006,0.9930783242258652,89.5435296316463,0.0,1260,9
refine_2m,2.0,4.0,8.0,8.94427190999916,1.0,1.0,0.0,1.0,0.001639344262295082,0.001639344262295082,1.0,0.03333333333333333,0.03333333333333333,310.41219436475217,1106.448685474807,2931.316086533214,5205.9667640492125,13515.950597537547,0.9879781420765027,89.3917035265249,0.0,1260,9
refine_2m,2.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan,nan,1.0,89.99579328285512,0.0,1260,9
refine_2m,2.0,6.0,2.0,6.324555320336759,1.0,1.0,0.0,1.0,0.000468384074941452,0.000468384074941452,1.0,0.014285714285714285,0.014285714285714285,39.68245164390802,245.85124778085373,685.6029070582368,2123.312219145115,2123.312219145115,0.9990892531876139,89.84664008622164,0.0,1260,9
refine_2m,2.0,6.0,4.0,7.211102550927978,1.0,1.0,0.0,1.0,0.000546448087431694,0.000546448087431694,1.0,0.016666666666666666,0.016666666666666666,139.79233335300216,391.97752652720084,1069.7061240436663,2271.6445891992184,3138.7603789453196,0.9968253968253968,89.69337660591881,0.0,1260,9
