pareto_index,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
302,final_refine_2m,2.0,634.0,394.0,746.452945603405,1.0,1.0,0.0,1.0,0.2454072339318241,0.2454072339318241,1.0,0.3865079365079365,0.3865079365079365,84.02074445811274,97.99690671997651,193.13466074879412,208.9166417527773,245.24095427662692,0.0,43.431090346626426,0.08069216757741347,1260,9
303,final_refine_2m,2.0,632.0,398.0,746.8788389022681,1.0,1.0,0.0,1.0,0.24374186833203226,0.24374186833203226,1.0,0.38492063492063494,0.38492063492063494,83.89701005389696,97.66021513682482,192.02364888676317,207.72258744323264,243.46601266185897,0.0,43.26672190082821,0.07923497267759563,1260,9
304,final_refine_2m,2.0,650.0,368.0,746.9431035895573,1.0,1.0,0.0,1.0,0.24972677595628415,0.24972677595628415,1.0,0.36666666666666664,0.36666666666666664,84.41892486649773,100.00225227934804,199.35735616198156,216.45386082234018,256.8058222977673,0.0,44.442481906773914,0.07103825136612021,1260,9
305,final_refine_2m,2.0,642.0,382.0,747.0528763079626,1.0,1.0,0.0,1.0,0.24852979443143378,0.24852979443143378,1.0,0.376984126984127,0.376984126984127,84.0702100476402,98.77250769574367,195.690484333348,212.03531188692745,250.07520474848005,0.0,43.86497560611824,0.0776216497527973,1260,9
306,final_refine_2m,2.0,636.0,392.0,747.1010641138186,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,83.90873535464834,98.0217072269676,193.351102809171,209.20862249644168,245.76431842096486,0.0,43.4797803949607,0.083008066614624,1260,9
307,final_refine_2m,2.0,648.0,372.0,747.1867236507886,1.0,1.0,0.0,1.0,0.24889409315638825,0.24889409315638825,1.0,0.36587301587301585,0.36587301587301585,84.26667602441515,99.59190087619685,198.1871148468232,215.0531992849642,254.69798286147446,0.0,44.263544696967266,0.0722352328909706,1260,9
308,final_refine_2m,2.0,630.0,402.0,747.331251855561,1.0,1.0,0.0,1.0,0.24207650273224043,0.24207650273224043,1.0,0.38333333333333336,0.38333333333333336,83.77942048786096,97.33574747934327,190.90526512489126,206.55785928983775,241.73767960699803,0.0,43.10480667722697,0.07704918032786885,1260,9
309,final_refine_2m,2.0,646.0,376.0,747.4570221758573,1.0,1.0,0.0,1.0,0.2502732240437158,0.2502732240437158,1.0,0.3746031746031746,0.3746031746031746,84.11070689054652,99.19461155883529,197.04674648373648,213.69025974490785,252.64919114788808,0.0,44.08777697123142,0.07403070517824616,1260,9
310,final_refine_2m,2.0,634.0,396.0,747.510535042818,1.0,1.0,0.0,1.0,0.2454072339318241,0.2454072339318241,1.0,0.3865079365079365,0.3865079365079365,83.78349503780575,97.6808471608424,192.27928709539086,208.00280937692915,243.9700211083776,0.0,43.314787238077024,0.0814207650273224,1260,9
311,final_refine_2m,2.0,632.0,400.0,747.9465221524865,1.0,1.0,0.0,1.0,0.24290918553213636,0.24290918553213636,1.0,0.38412698412698415,0.38412698412698415,83.6644640231882,97.35073617408467,191.14942291841234,206.82672980089515,242.22306672411358,0.0,43.151525641912755,0.07923497267759563,1260,9
312,final_refine_2m,2.0,642.0,384.0,748.0775360883389,1.0,1.0,0.0,1.0,0.24852979443143378,0.24852979443143378,1.0,0.376984126984127,0.376984126984127,83.82036324691634,98.43737665347057,194.85173603627854,211.0681567009667,248.71986970931906,0.0,43.745258580639195,0.0776216497527973,1260,9
313,final_refine_2m,2.0,636.0,394.0,748.152390893727,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,83.67022083614421,97.70318849562472,192.5394037749834,208.2875306248234,244.4816967111433,0.0,43.36290944958215,0.083008066614624,1260,9
314,final_refine_2m,2.0,630.0,404.0,748.4089791016673,1.0,1.0,0.0,1.0,0.24262295081967214,0.24262295081967214,1.0,0.38571428571428573,0.38571428571428573,83.55143945743417,97.03265645390537,190.04907021737708,205.6794344497652,240.52177726438086,0.0,42.9907027809685,0.07835024720270622,1260,9
315,final_refine_2m,2.0,646.0,378.0,748.4650960465692,1.0,1.0,0.0,1.0,0.250975800156128,0.250975800156128,1.0,0.376984126984127,0.376984126984127,83.85413629061402,98.84927269859907,196.18421496612513,212.69452447661274,251.24822038014105,0.0,43.966322654873444,0.07403070517824616,1260,9
316,final_refine_2m,2.0,634.0,398.0,748.5719738275004,1.0,1.0,0.0,1.0,0.2454072339318241,0.2454072339318241,1.0,0.3865079365079365,0.3865079365079365,83.54973162549062,97.36898153107583,191.39787937482456,207.09993090390122,242.71581067296972,0.0,43.19902386648659,0.08214936247723133,1260,9
317,refine_10m,10.0,620.0,420.0,748.8658090739622,1.0,1.0,0.0,1.0,0.23434816549570647,0.23434816549570647,1.0,0.39126984126984127,0.39126984126984127,83.48694697400718,96.13860663859637,187.1013371201679,201.95062447603163,234.8472799790747,0.0,42.44449603483293,0.07689305230288837,1260,9
318,final_refine_2m,2.0,632.0,402.0,749.0180238151817,1.0,1.0,0.0,1.0,0.24290918553213636,0.24290918553213636,1.0,0.38412698412698415,0.38412698412698415,83.43531116104538,97.04533784237074,190.28629459311472,205.9415126713876,240.9963040174045,0.0,43.03686079456261,0.07996357012750456,1260,9
319,final_refine_2m,2.0,642.0,386.0,749.1061340023855,1.0,1.0,0.0,1.0,0.24852979443143378,0.24852979443143378,1.0,0.376984126984127,0.376984126984127,83.57427423000382,98.10679498592668,194.023077740013,210.11292789346018,247.38295608371072,0.0,43.62610812290478,0.07822014051522248,1260,9
320,final_refine_2m,2.0,636.0,396.0,749.2075813818224,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,83.43522623176986,97.38891305206234,191.65070690880262,207.37753160698173,243.2160413893113,0.0,43.24658299475686,0.08360655737704918,1260,9
321,final_refine_2m,2.0,646.0,380.0,749.4771510860088,1.0,1.0,0.0,1.0,0.25144418423106946,0.25144418423106946,1.0,0.37857142857142856,0.37857142857142856,83.60147160194656,98.50867345101572,195.33220464751903,211.71124851846764,249.86661268624326,0.0,43.84544862693211,0.07462919594067136,1260,9
322,final_refine_2m,2.0,630.0,406.0,749.4904936021537,1.0,1.0,0.0,1.0,0.24316939890710382,0.24316939890710382,1.0,0.3880952380952381,0.3880952380952381,83.32676232777894,96.73353138050945,189.31963465402856,204.81134915813317,239.3215425447576,0.0,42.87712340171145,0.07907884465261514,1260,9
323,final_refine_2m,2.0,634.0,400.0,749.6372456061665,1.0,1.0,0.0,1.0,0.2454072339318241,0.2454072339318241,1.0,0.3865079365079365,0.3865079365079365,83.31939385960389,97.06124089533068,190.5277152548774,206.20782615894632,241.47801593617672,0.0,43.08379664738517,0.08214936247723133,1260,9
324,final_refine_2m,2.0,638.0,394.0,749.8533189897875,1.0,1.0,0.0,1.0,0.24748894093156387,0.24748894093156387,1.0,0.38492063492063494,0.38492063492063494,83.32095083786993,97.41053889668633,191.90797956882338,207.65960239116276,243.72389187740103,0.0,43.29418406788837,0.08181108508977361,1260,9
325,refine_50m,50.0,450.0,600.0,750.0,1.0,1.0,0.0,1.0,0.1726775956284153,0.1726775956284153,1.0,0.4,0.4,93.50674023012768,99.26541103514444,177.90526323354274,189.31719626675306,211.9405289798588,0.0,40.35537955570956,0.08404892011449389,1260,9
326,refine_50m,50.0,600.0,450.0,750.0,1.0,1.0,0.0,1.0,0.24173822534478273,0.24173822534478273,1.0,0.4373015873015873,0.4373015873015873,83.76180872307614,94.96436104301647,182.0736645159242,196.04607086354665,226.06232483499753,0.0,41.55612276717297,0.08641686182669789,1260,9
327,final_refine_2m,2.0,642.0,388.0,750.1386538500732,1.0,1.0,0.0,1.0,0.24852979443143378,0.24852979443143378,1.0,0.376984126984127,0.376984126984127,83.33187580645775,97.78068565818214,193.20434391391416,209.16942290720465,246.06411342490944,0.0,43.50752038067345,0.07822014051522248,1260,9
328,final_refine_2m,2.0,636.0,398.0,750.2666192761077,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,83.20369026660592,97.07881078210882,190.77340248126697,206.47844203217815,241.9670391554866,0.0,43.13079739830935,0.08360655737704918,1260,9
329,final_refine_2m,2.0,646.0,382.0,750.4931711881195,1.0,1.0,0.0,1.0,0.25214676034348166,0.25214676034348166,1.0,0.38095238095238093,0.38095238095238093,83.35264182893434,98.17273164625898,194.4905401647278,210.74021675595176,248.50399292084944,0.0,43.72515089810242,0.07462919594067136,1260,9
330,final_refine_2m,2.0,630.0,408.0,750.5757789857064,1.0,1.0,0.0,1.0,0.24371584699453552,0.24371584699453552,1.0,0.3904761904761905,0.3904761904761905,83.10533306664811,96.43830842541296,188.61761470872926,203.95343686428293,238.1366943673129,0.0,42.76406692678287,0.07965131407754358,1260,9
331,final_refine_2m,2.0,634.0,402.0,750.7063340614624,1.0,1.0,0.0,1.0,0.2454072339318241,0.2454072339318241,1.0,0.3865079365079365,0.3865079365079365,83.09242272843953,96.7575578142317,189.66859900180017,205.32631888054343,240.25633729589813,0.0,42.96910203058352,0.08287795992714025,1260,9
332,final_refine_2m,2.0,638.0,396.0,750.9061192985446,1.0,1.0,0.0,1.0,0.24811345303148583,0.24811345303148583,1.0,0.3873015873015873,0.3873015873015873,83.0882031492558,97.0980406132485,191.02342812737882,206.7534288356486,242.4635027708217,0.0,43.17783789887835,0.08181108508977361,1260,9
333,final_refine_2m,2.0,642.0,390.0,751.1750794588436,1.0,1.0,0.0,1.0,0.24852979443143378,0.24852979443143378,1.0,0.376984126984127,0.376984126984127,83.09310233652882,97.45897286326037,192.3953726115673,208.2374437293654,244.76300007696764,0.0,43.38949153965146,0.07881863127764767,1260,9
334,final_refine_2m,2.0,636.0,400.0,751.3294883072273,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,82.97555304316532,96.77281310118569,189.90729108831715,205.5900824941152,240.73438433719858,0.0,43.01554906298254,0.08360655737704918,1260,9
335,final_refine_2m,2.0,646.0,384.0,751.5131402710135,1.0,1.0,0.0,1.0,0.25214676034348166,0.25214676034348166,1.0,0.38095238095238093,0.38095238095238093,83.10757764116815,97.84136614080697,193.6590500132581,209.78121898157718,247.1599955229189,0.0,43.605425518901704,0.07522768670309654,1260,9
336,refine_50m,50.0,50.0,750.0,751.6648189186454,0.2211553473848556,0.7960187353629976,0.0,0.2211553473848556,0.056128024980484,0.056128024980484,0.4658730158730159,0.2007936507936508,0.2007936507936508,51.12866960316588,51.239992811874316,71.12818010428178,73.90513394328936,79.58978771259517,0.0,28.631790797345936,0.014389799635701275,1260,9
337,final_refine_2m,2.0,630.0,410.0,751.6648189186454,1.0,1.0,0.0,1.0,0.2442622950819672,0.2442622950819672,1.0,0.39285714285714285,0.39285714285714285,82.88709686950337,96.14692511113269,187.923247896159,203.1055345589602,236.96695829858314,0.0,42.65152683095609,0.08037991152745251,1260,9
338,final_refine_2m,2.0,634.0,404.0,751.7792229105563,1.0,1.0,0.0,1.0,0.2454072339318241,0.2454072339318241,1.0,0.3865079365079365,0.3865079365079365,82.86876053322725,96.45786630398915,188.93788351839882,204.45523661447783,239.0504823586842,0.0,42.85493649968903,0.08360655737704918,1260,9
339,final_refine_2m,2.0,638.0,398.0,751.96276503561,1.0,1.0,0.0,1.0,0.24873796513140775,0.24873796513140775,1.0,0.3896825396825397,0.3896825396825397,82.85888681693544,96.78969483235991,190.15021775120044,205.85812037326744,241.21969729339142,0.0,43.062033674748236,0.0824095758521988,1260,9
340,final_refine_2m,2.0,636.0,402.0,752.3961722390671,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,82.75075600352453,96.47085291279679,189.1023840227535,204.7122774819423,239.51777865880274,0.0,42.90083442594195,0.08360655737704918,1260,9
341,final_refine_2m,2.0,646.0,386.0,752.5370422776542,1.0,1.0,0.0,1.0,0.25214676034348166,0.25214676034348166,1.0,0.38095238095238093,0.38095238095238093,82.86621132564011,97.51450499828724,192.8375664414214,208.8340497553485,245.83426421161005,0.0,43.486269946408214,0.07522768670309654,1260,9
342,final_refine_2m,2.0,630.0,412.0,752.7575971054692,1.0,1.0,0.0,1.0,0.24499089253187614,0.24499089253187614,1.0,0.396031746031746,0.396031746031746,82.67200012663186,95.85932028060567,187.2364219498161,202.26748268044915,235.81206635715793,0.0,42.53949975598408,0.08095238095238096,1260,9
