rank,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
11,final_refine_1m,1.0,691.0,457.0,828.4503606131149,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.7625984499305,83.14269321147508,157.0863447952873,169.403623669899,194.75717320616167,0.0,38.089332313151324,0.09419724173822534,1260,9
12,final_refine_1m,1.0,689.0,458.0,827.3360864848094,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.95875271858799,83.2716192311986,157.30480841739643,169.61653607307386,194.9621742517194,0.0,38.10542466680985,0.09221962008847255,1260,9
13,final_refine_1m,1.0,690.0,457.0,827.6164570620862,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.88486509146202,83.25172787790693,157.31648125621157,169.64214493813245,195.05167878585038,0.0,38.12259289163866,0.09320843091334895,1260,9
14,final_refine_1m,1.0,691.0,456.0,827.8991484474423,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.81095989686392,83.23206189189402,157.32850953670305,169.6681659551191,195.1419719354032,0.0,38.13975058538124,0.09339058027582618,1260,9
15,final_refine_1m,1.0,689.0,457.0,826.7829219329582,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.00736190637163,83.3609840882658,157.54684651635276,169.88088922344832,195.34647179554227,0.0,38.15573732937378,0.09221962008847255,1260,9
16,final_refine_1m,1.0,690.0,456.0,827.0646891265519,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.93352828397994,83.34138048763295,157.55922166404585,169.90727157691222,195.43733506015823,0.0,38.173016573994445,0.09240176945094977,1260,9
17,final_refine_1m,1.0,691.0,455.0,827.3487777231559,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.85967717766638,83.32200335045927,157.57195617495847,169.9340703855852,195.528995767392,0.0,38.19028545567662,0.09339058027582618,1260,9
18,final_refine_1m,1.0,689.0,456.0,826.230597351611,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.05632743469046,83.45091977902577,157.7901631573524,170.14660076217504,195.7329865120682,0.0,38.20616604833888,0.09221962008847255,1260,9
19,final_refine_1m,1.0,690.0,455.0,826.5137627408269,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.98254881523326,83.4316058245165,157.8032466971425,170.17376307989935,195.82522117125038,0.0,38.22355677088973,0.09240176945094977,1260,9
20,final_refine_1m,1.0,691.0,454.0,826.7992501206081,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.90875280013287,83.4125209046917,157.8166935666048,170.20134620370308,195.91826220912597,0.0,38.24093729970301,0.09339058027582618,1260,9
21,final_refine_1m,1.0,689.0,455.0,825.6791144264217,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.10565180888047,83.54143174823905,158.03476715495904,170.4136798869087,196.1217358051713,0.0,38.25671119669319,0.09141295862607338,1260,9
22,final_refine_1m,1.0,690.0,454.0,825.9636795888788,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.03192920332005,83.52241146673579,158.04856523111292,170.44162870825338,196.21535466492912,0.0,38.274213857467,0.09240176945094977,1260,9
23,final_refine_1m,1.0,691.0,453.0,826.2505673220443,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,70.95818929521572,83.50362209479137,158.06273064886275,170.4700027347357,196.30978894987828,0.0,38.291706494762806,0.09258391881342701,1260,9
24,final_refine_1m,1.0,689.0,454.0,825.1284748449783,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.1553375573597,83.63252562725977,158.2806674038706,170.6821358775812,196.51273725949903,0.0,38.30737314904631,0.09141295862607338,1260,9
25,final_refine_1m,1.0,690.0,453.0,825.414441356583,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.0816719895861,83.61380110902377,158.295186222417,170.71087780616372,196.60775326969025,0.0,38.32498821050297,0.09097059588862867,1260,9
26,final_refine_1m,1.0,689.0,453.0,824.5786802967925,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.20538723187587,83.72420320978523,158.52787287981238,170.95197809732466,196.90600864284582,0.0,38.35815228163926,0.09078844652615145,1260,9
27,final_refine_1m,1.0,690.0,452.0,824.8660497317125,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.13177973888678,83.70577643220874,158.5431187093051,170.98151980177778,197.00243489912137,0.0,38.37588020841852,0.09097059588862867,1260,9
28,final_refine_1m,1.0,689.0,452.0,824.0297324732888,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.25580340778203,83.81646855437187,158.77639264048466,171.2232159934226,197.30156790850384,0.0,38.409048972354434,0.09078844652615145,1260,9
29,final_refine_1m,1.0,690.0,451.0,824.3185064039263,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.18225503984678,83.79834366922123,158.79237181272677,171.25356420815035,197.39941765430837,0.0,38.42689023128875,0.09097059588862867,1260,9
30,final_refine_1m,1.0,688.0,452.0,823.1937803457944,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.38006013511892,83.92738666669513,159.00989823176675,171.46513796843672,197.60099292958697,0.0,38.44209979891123,0.09141295862607338,1260,9
31,final_refine_1m,1.0,689.0,451.0,823.4816330677935,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.30658868429047,83.9093289792883,159.02623582647612,171.49585909823364,197.6994331977192,0.0,38.46006360072567,0.09078844652615145,1260,9
32,final_refine_1m,1.0,690.0,450.0,823.7718130647588,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.23310050513281,83.89150813780168,159.04295473730903,171.52702062420414,197.79871982629012,0.0,38.47801866085316,0.09016393442622951,1260,9
33,final_refine_1m,1.0,688.0,451.0,822.6451239750953,1.0,1.0,0.0,1.0,0.2617486338797814,0.2617486338797814,1.0,0.36666666666666664,0.36666666666666664,71.43115598812238,84.02053961293265,159.2603320822342,171.73838033279554,197.99974167992056,0.0,38.49311865158977,0.09141295862607338,1260,9
