x,y,near_guaranteed_rx,near_near,near_direction_available,near_robust_clear_ready,near_operational_good,near_worst_diameter,far_guaranteed_rx,far_near,far_direction_available,far_robust_clear_ready,far_operational_good,far_worst_diameter,both_operational_good
-600.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,2900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-600.0,3000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,0.0,True,False,True,False,False,inf,False,False,False,False,False,nan,False
-500.0,100.0,True,False,True,False,False,127.74217214445468,False,False,False,False,False,nan,False
-500.0,200.0,True,False,True,False,False,60.20317396451028,False,False,False,False,False,nan,False
-500.0,300.0,True,False,True,False,False,44.592460195697605,False,False,False,False,False,nan,False
-500.0,400.0,True,False,True,True,True,39.208953610082226,False,False,False,False,False,nan,False
-500.0,500.0,True,False,True,True,True,37.5743990279607,False,False,False,False,False,nan,False
-500.0,600.0,True,False,True,True,True,37.728137167872006,False,False,False,False,False,nan,False
-500.0,700.0,True,False,True,True,True,38.87376499744092,False,False,False,False,False,nan,False
-500.0,800.0,True,False,True,False,False,40.62665493904835,False,False,False,False,False,nan,False
-500.0,900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1000.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1100.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1200.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1300.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1400.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1500.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1600.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1700.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1800.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
-500.0,1900.0,False,False,False,False,False,nan,False,False,False,False,False,nan,False
