x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count,target_radius
400.0,-1800.0,1843.9088914585775,-77.47119229084849,0.0,1.0,0.0,1.0,0.0,129.50200302694572,133.7414714581216,135.59673894388658,0,9,45,45,0,45,0,0,0,1500.0
500.0,-1800.0,1868.1541692269404,-74.47588900324574,0.0,1.0,0.0,1.0,0.0,65.59886030342307,65.73608054364911,65.73927347183377,0,9,45,45,0,45,0,0,0,300.0
500.0,-1800.0,1868.1541692269404,-74.47588900324574,0.0,1.0,0.0,1.0,0.0,67.54878588033286,68.45517651890776,68.47189881834697,0,9,45,45,0,45,0,0,0,600.0
500.0,-1800.0,1868.1541692269404,-74.47588900324574,0.0,1.0,0.0,1.0,0.0,79.43996290781594,81.15905787332454,81.36180531628392,0,9,45,45,0,45,0,0,0,900.0
500.0,-1800.0,1868.1541692269404,-74.47588900324574,0.0,1.0,0.0,1.0,0.0,98.09706740753747,100.73613163913076,101.41736865424545,0,9,45,45,0,45,0,0,0,1200.0
500.0,-1800.0,1868.1541692269404,-74.47588900324574,0.0,1.0,0.0,1.0,0.0,123.13301139009882,126.95410408510818,128.5425015004753,0,9,45,45,0,45,0,0,0,1500.0
600.0,-1800.0,1897.3665961010277,-71.56505117707799,0.0,1.0,0.0,1.0,0.0,67.13052226316367,67.33606411233143,67.34284097635407,0,9,45,45,0,45,0,0,0,300.0
600.0,-1800.0,1897.3665961010277,-71.56505117707799,0.0,1.0,0.0,0.4222222222222222,0.0,66.25699520956616,66.9935953636145,66.9944443377696,0,9,45,45,0,19,0,0,0,600.0
600.0,-1800.0,1897.3665961010277,-71.56505117707799,0.0,1.0,0.0,1.0,0.0,76.5952078555812,78.11812065403467,78.2537403253239,0,9,45,45,0,45,0,0,0,900.0
600.0,-1800.0,1897.3665961010277,-71.56505117707799,0.0,1.0,0.0,1.0,0.0,93.72764956108445,96.10001842183291,96.64015473021229,0,9,45,45,0,45,0,0,0,1200.0
600.0,-1800.0,1897.3665961010277,-71.56505117707799,0.0,1.0,0.0,1.0,0.0,117.18496581030274,120.6297979755419,121.97226214601584,0,9,45,45,0,45,0,0,0,1500.0
700.0,-1800.0,1931.3207915827966,-68.74949449286676,0.0,1.0,0.0,1.0,0.0,69.04631944682204,69.32472863794648,69.33646870508943,0,9,45,45,0,45,0,0,0,300.0
700.0,-1800.0,1931.3207915827966,-68.74949449286676,0.0,1.0,0.0,1.0,0.0,67.50605908480055,67.58172545509842,67.58373488606524,0,9,45,45,0,45,0,0,0,600.0
700.0,-1800.0,1931.3207915827966,-68.74949449286676,0.0,1.0,0.0,1.0,0.0,74.12354492261694,75.46671532363905,75.54558204327537,0,9,45,45,0,45,0,0,0,900.0
700.0,-1800.0,1931.3207915827966,-68.74949449286676,0.0,1.0,0.0,1.0,0.0,89.75257891000693,91.88622344084713,92.30030536904786,0,9,45,45,0,45,0,0,0,1200.0
700.0,-1800.0,1931.3207915827966,-68.74949449286676,0.0,1.0,0.0,1.0,0.0,111.65566961367304,114.76305732490962,115.88015902123193,0,9,45,45,0,45,0,0,0,1500.0
800.0,-1800.0,1969.771560359221,-66.03751102542182,0.0,1.0,0.0,1.0,0.0,71.34692089100814,71.70388063963475,71.72199028576117,0,9,45,45,0,45,0,0,0,300.0
800.0,-1800.0,1969.771560359221,-66.03751102542182,0.0,1.0,0.0,1.0,0.0,69.1670802903438,69.31148596627497,69.31824504475578,0,9,45,45,0,45,0,0,0,600.0
800.0,-1800.0,1969.771560359221,-66.03751102542182,0.0,1.0,0.0,1.0,0.0,72.01928101016262,73.1958455360736,73.22806960156201,0,9,45,45,0,45,0,0,0,900.0
