rank,x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count
26,500.0,500.0,707.1067811865476,45.0,0.42592592592592593,1.0,0.4651851851851852,0.9807407407407407,0.44592592592592595,46.26224433480088,162.57901524063962,234.6947459861784,115,270,1350,1350,628,1324,602,26,0
27,500.0,-350.0,610.3277807866851,-34.99202019855866,0.4185185185185185,1.0,0.4622222222222222,0.9807407407407407,0.44296296296296295,49.010522230978054,214.45152230003148,342.3206581596499,113,270,1350,1350,624,1324,598,26,0
28,500.0,350.0,610.3277807866851,34.99202019855866,0.4185185185185185,1.0,0.4622222222222222,0.9807407407407407,0.44296296296296295,49.01052223097787,214.4515223000302,342.3206581596486,113,270,1350,1350,624,1324,598,26,0
29,500.0,-550.0,743.3034373659252,-47.72631099390627,0.4111111111111111,1.0,0.4614814814814815,0.9807407407407407,0.44222222222222224,46.20279281903509,152.07262095883084,214.97705314367093,111,270,1350,1350,623,1324,597,26,0
30,500.0,550.0,743.3034373659252,47.72631099390627,0.4111111111111111,1.0,0.4614814814814815,0.9807407407407407,0.44222222222222224,46.20279281903513,152.07262095882976,214.9770531436694,111,270,1350,1350,623,1324,597,26,0
31,500.0,-300.0,583.09518948453,-30.96375653207352,0.40370370370370373,1.0,0.45185185185185184,0.9807407407407407,0.4325925925925926,51.56134995346994,245.67907958679206,412.68225480788334,109,270,1350,1350,610,1324,584,26,0
32,500.0,300.0,583.09518948453,30.96375653207352,0.40370370370370373,1.0,0.45185185185185184,0.9807407407407407,0.4325925925925926,51.561349953469986,245.67907958679118,412.68225480788647,109,270,1350,1350,610,1324,584,26,0
33,450.0,-350.0,570.087712549569,-37.874983651098205,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,54.87282260722074,231.0072332105787,368.39092915086417,108,270,1350,1350,585,1324,559,26,0
34,450.0,350.0,570.087712549569,37.874983651098205,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,54.87282260722054,231.00723321057913,368.39092915086667,108,270,1350,1350,585,1324,559,26,0
35,450.0,-400.0,602.0797289396148,-41.6335393365702,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,52.54397651390814,205.6566881017505,316.08122501778104,108,270,1350,1350,585,1324,559,26,0
